date,price,tweets
2021-02-01,33537.175781,
2021-02-02,35510.289063,
2021-02-03,37472.089844,
2021-02-04,36926.066406,
2021-02-05,38144.308594,1694.0
2021-02-06,39266.011719,3278.0
2021-02-07,38903.441406,3030.0
2021-02-08,46196.464844,5647.0
2021-02-09,46481.105469,4350.0
2021-02-10,44918.183594,3526.0
2021-02-11,47909.332031,
2021-02-12,47504.851563,
2021-02-13,47105.515625,2285.0
2021-02-14,48717.289063,4009.0
2021-02-15,47945.058594,4651.0
2021-02-16,49199.871094,
2021-02-17,52149.007813,
2021-02-18,51679.796875,2254.0
2021-02-19,55888.132813,4521.0
2021-02-20,56099.519531,
2021-02-21,57539.945313,
2021-02-22,54207.320313,3564.0
2021-02-23,48824.425781,
2021-02-24,49705.332031,
2021-02-25,47093.851563,
2021-02-26,46339.761719,
2021-02-27,46188.453125,
2021-02-28,45137.769531,1634.0
2021-03-01,49631.242188,
2021-03-02,48378.988281,
2021-03-03,50538.242188,
2021-03-04,48561.167969,
2021-03-05,48927.304688,
2021-03-06,48912.382813,
2021-03-07,51206.691406,
2021-03-08,52246.523438,
2021-03-09,54824.117188,
2021-03-10,56008.550781,
2021-03-11,57805.121094,217.0
2021-03-12,57332.089844,3923.0
2021-03-13,61243.085938,
2021-03-14,59302.316406,
2021-03-15,55907.199219,
2021-03-16,56804.902344,
2021-03-17,58870.894531,
2021-03-18,57858.921875,
2021-03-19,58346.652344,
2021-03-20,58313.644531,
2021-03-21,57523.421875,
2021-03-22,54529.144531,
2021-03-23,54738.945313,
2021-03-24,52774.265625,
2021-03-25,51704.160156,
2021-03-26,55137.3125,
2021-03-27,55973.511719,
2021-03-28,55950.746094,
2021-03-29,57750.199219,
2021-03-30,58917.691406,
2021-03-31,58918.832031,
2021-04-01,59095.808594,
2021-04-02,59384.3125,
2021-04-03,57603.890625,
2021-04-04,58758.554688,
2021-04-05,59057.878906,2197.0
2021-04-06,58192.359375,3730.0
2021-04-07,56048.9375,4039.0
2021-04-08,58323.953125,3740.0
2021-04-09,58245.003906,3475.0
2021-04-10,59793.234375,4011.0
2021-04-11,60204.964844,2039.0
2021-04-12,59893.453125,1926.0
2021-04-13,63503.457031,
2021-04-14,63109.695313,
2021-04-15,63314.011719,
2021-04-16,61572.789063,
2021-04-17,60683.820313,333.0
2021-04-18,56216.183594,4708.0
2021-04-19,55724.265625,4119.0
2021-04-20,56473.03125,4388.0
2021-04-21,53906.089844,4436.0
2021-04-22,51762.273438,5102.0
2021-04-23,51093.652344,5865.0
2021-04-24,50050.867188,3952.0
2021-04-25,49004.253906,
2021-04-26,54021.753906,
2021-04-27,55033.117188,
2021-04-28,54824.703125,
2021-04-29,53555.109375,
2021-04-30,57750.175781,
2021-05-01,57828.050781,
2021-05-02,56631.078125,
2021-05-03,57200.292969,
2021-05-04,53333.539063,
2021-05-05,57424.007813,
2021-05-06,56396.515625,
2021-05-07,57356.402344,
2021-05-08,58803.777344,
2021-05-09,58232.316406,
2021-05-10,55859.796875,
2021-05-11,56704.574219,
2021-05-12,49150.535156,
2021-05-13,49716.191406,
2021-05-14,49880.535156,
2021-05-15,46760.1875,
2021-05-16,46456.058594,
2021-05-17,43537.511719,
2021-05-18,42909.402344,
2021-05-19,37002.441406,
2021-05-20,40782.738281,
2021-05-21,37304.691406,
2021-05-22,37536.632813,
2021-05-23,34770.582031,
2021-05-24,38705.980469,
2021-05-25,38402.222656,2803.0
2021-05-26,39294.199219,4898.0
2021-05-27,38436.96875,4383.0
2021-05-28,35697.605469,5189.0
2021-05-29,34616.066406,4509.0
2021-05-30,35678.128906,
2021-05-31,37332.855469,
2021-06-01,36684.925781,
2021-06-02,37575.179688,
2021-06-03,39208.765625,
2021-06-04,36894.40625,
2021-06-05,35551.957031,
2021-06-06,35862.378906,
2021-06-07,33560.707031,
2021-06-08,33472.632813,
2021-06-09,37345.121094,
2021-06-10,36702.597656,
2021-06-11,37334.398438,
2021-06-12,35552.515625,
2021-06-13,39097.859375,
2021-06-14,40218.476563,
2021-06-15,40406.269531,
2021-06-16,38347.0625,
2021-06-17,38053.503906,
2021-06-18,35787.246094,
2021-06-19,35615.871094,
2021-06-20,35698.296875,8868.0
2021-06-21,31676.693359,41729.0
2021-06-22,32505.660156,45840.0
2021-06-23,33723.027344,29358.0
2021-06-24,34662.4375,
2021-06-25,31637.779297,
2021-06-26,32186.277344,
2021-06-27,34649.644531,
2021-06-28,34434.335938,
2021-06-29,35867.777344,
2021-06-30,35040.835938,
2021-07-01,33572.117188,
2021-07-02,33897.046875,17789.0
2021-07-03,34668.546875,25430.0
2021-07-04,35287.78125,23087.0
2021-07-05,33746.003906,25981.0
2021-07-06,34235.195313,
2021-07-07,33855.328125,
2021-07-08,32877.371094,
2021-07-09,33798.011719,
2021-07-10,33520.519531,
2021-07-11,34240.1875,
2021-07-12,33155.847656,
2021-07-13,32702.025391,
2021-07-14,32822.347656,
2021-07-15,31780.730469,
2021-07-16,31421.539063,1110.0
2021-07-17,31533.068359,15204.0
2021-07-18,31796.810547,26239.0
2021-07-19,30817.832031,28931.0
2021-07-20,29807.347656,30933.0
2021-07-21,32110.693359,38911.0
2021-07-22,32313.105469,30833.0
2021-07-23,33581.550781,43535.0
2021-07-24,34292.445313,32131.0
2021-07-25,35350.1875,11609.0
2021-07-26,37337.535156,27491.0
2021-07-27,39406.941406,13948.0
2021-07-28,39995.90625,15491.0
2021-07-29,40008.421875,19034.0
2021-07-30,42235.546875,38392.0
2021-07-31,41626.195313,
2021-08-01,39974.894531,
2021-08-02,39201.945313,
2021-08-03,38152.980469,
2021-08-04,39747.503906,1773.0
2021-08-05,40869.554688,12817.0
2021-08-06,42816.5,15995.0
2021-08-07,44555.800781,13186.0
2021-08-08,43798.117188,33834.0
2021-08-09,46365.402344,53501.0
2021-08-10,45585.03125,
2021-08-11,45593.636719,
2021-08-12,44428.289063,
2021-08-13,47793.320313,
2021-08-14,47096.945313,13677.0
2021-08-15,47047.003906,30091.0
2021-08-16,46004.484375,32460.0
2021-08-17,44695.359375,35318.0
2021-08-18,44801.1875,38227.0
2021-08-19,46717.578125,34272.0
2021-08-20,49339.175781,39291.0
2021-08-21,48905.492188,10928.0
2021-08-22,49321.652344,
2021-08-23,49546.148438,10503.0
2021-08-24,47706.117188,26905.0
2021-08-25,48960.789063,47043.0
2021-08-26,46942.21875,39166.0
2021-08-27,49058.667969,
2021-08-28,48902.402344,
2021-08-29,48829.832031,
2021-08-30,47054.984375,
2021-08-31,47166.6875,
2021-09-01,48847.027344,
2021-09-02,49327.722656,
2021-09-03,50025.375,
2021-09-04,49944.625,
2021-09-05,51753.410156,
2021-09-06,52633.535156,
2021-09-07,46811.128906,
2021-09-08,46091.390625,
2021-09-09,46391.421875,
2021-09-10,44883.910156,23510.0
2021-09-11,45201.457031,
2021-09-12,46063.269531,
2021-09-13,44963.074219,
2021-09-14,47092.492188,
2021-09-15,48176.347656,
2021-09-16,47783.359375,
2021-09-17,47267.519531,
2021-09-18,48278.363281,
2021-09-19,47260.21875,
2021-09-20,42843.800781,
2021-09-21,40693.675781,
2021-09-22,43574.507813,
2021-09-23,44895.097656,
2021-09-24,42839.75,
2021-09-25,42716.59375,
2021-09-26,43208.539063,
2021-09-27,42235.730469,
2021-09-28,41034.542969,
2021-09-29,41564.363281,
2021-09-30,43790.894531,
2021-10-01,48116.941406,
2021-10-02,47711.488281,
2021-10-03,48199.953125,
2021-10-04,49112.902344,
2021-10-05,51514.8125,
2021-10-06,55361.449219,
2021-10-07,53805.984375,
2021-10-08,53967.847656,
2021-10-09,54968.222656,
2021-10-10,54771.578125,
2021-10-11,57484.789063,
2021-10-12,56041.058594,
2021-10-13,57401.097656,
2021-10-14,57321.523438,
2021-10-15,61593.949219,
2021-10-16,60892.179688,
2021-10-17,61553.617188,
2021-10-18,62026.078125,23083.0
2021-10-19,64261.992188,63590.0
2021-10-20,65992.835938,33394.0
2021-10-21,62210.171875,42406.0
2021-10-22,60692.265625,54775.0
2021-10-23,61393.617188,39413.0
2021-10-24,60930.835938,
2021-10-25,63039.824219,
2021-10-26,60363.792969,
2021-10-27,58482.386719,21919.0
2021-10-28,60622.136719,37411.0
2021-10-29,62227.964844,35805.0
2021-10-30,61888.832031,
2021-10-31,61318.957031,
2021-11-01,61004.40625,
2021-11-02,63226.402344,
2021-11-03,62970.046875,
2021-11-04,61452.230469,25929.0
2021-11-05,61125.675781,35590.0
2021-11-06,61527.480469,45799.0
2021-11-07,63326.988281,
2021-11-08,67566.828125,
2021-11-09,66971.828125,
2021-11-10,64995.230469,
2021-11-11,64949.960938,19849.0
2021-11-12,64155.941406,39858.0
2021-11-13,64469.527344,
2021-11-14,65466.839844,
2021-11-15,63557.871094,
2021-11-16,60161.246094,
2021-11-17,60368.011719,
2021-11-18,56942.136719,36976.0
2021-11-19,58119.578125,54023.0
2021-11-20,59697.195313,
2021-11-21,58730.476563,
2021-11-22,56289.289063,
2021-11-23,57569.074219,
2021-11-24,56280.425781,6383.0
2021-11-25,57274.679688,37651.0
2021-11-26,53569.765625,57572.0
2021-11-27,54815.078125,
2021-11-28,57248.457031,
2021-11-29,57806.566406,
2021-11-30,57005.425781,
2021-12-01,57229.828125,
2021-12-02,56477.816406,
2021-12-03,53598.246094,
2021-12-04,49200.703125,
2021-12-05,49368.847656,
2021-12-06,50582.625,
2021-12-07,50700.085938,
2021-12-08,50504.796875,
2021-12-09,47672.121094,
2021-12-10,47243.304688,
2021-12-11,49362.507813,6004.0
2021-12-12,50098.335938,
2021-12-13,46737.480469,
2021-12-14,46612.632813,
2021-12-15,48896.722656,
2021-12-16,47665.425781,
2021-12-17,46202.144531,20439.0
2021-12-18,46848.777344,
2021-12-19,46707.015625,
2021-12-20,46880.277344,
2021-12-21,48936.613281,
2021-12-22,48628.511719,
2021-12-23,50784.539063,
2021-12-24,50822.195313,
2021-12-25,50429.859375,
2021-12-26,50809.515625,
2021-12-27,50640.417969,
2021-12-28,47588.855469,
2021-12-29,46444.710938,3770.0
2021-12-30,47178.125,25088.0
2021-12-31,46306.445313,
2022-01-01,47686.8125,
2022-01-02,47345.21875,
2022-01-03,46458.117188,
2022-01-04,45897.574219,
2022-01-05,43569.003906,
2022-01-06,43160.929688,
2022-01-07,41557.902344,
2022-01-08,41733.941406,
2022-01-09,41911.601563,
2022-01-10,41821.261719,
2022-01-11,42735.855469,11613.0
2022-01-12,43949.101563,42230.0
2022-01-13,42591.570313,42993.0
2022-01-14,43099.699219,30041.0
2022-01-15,43177.398438,
2022-01-16,43113.878906,
2022-01-17,42250.550781,
2022-01-18,42375.632813,
2022-01-19,41744.328125,3673.0
2022-01-20,40680.417969,22063.0
2022-01-21,36457.316406,35669.0
2022-01-22,35030.25,71805.0
2022-01-23,36276.804688,
2022-01-24,36654.328125,
2022-01-25,36954.003906,
2022-01-26,36852.121094,
2022-01-27,37138.234375,
2022-01-28,37784.332031,
2022-01-29,38138.179688,
2022-01-30,37917.601563,
2022-01-31,38483.125,
2022-02-01,38743.273438,
2022-02-02,36952.984375,
2022-02-03,37154.601563,
2022-02-04,41500.875,
2022-02-05,41441.164063,
2022-02-06,42412.433594,
2022-02-07,43840.285156,
2022-02-08,44118.445313,
2022-02-09,44338.796875,25303.0
2022-02-10,43565.113281,
2022-02-11,42407.9375,
2022-02-12,42244.46875,
2022-02-13,42197.515625,
2022-02-14,42586.917969,5348.0
2022-02-15,44575.203125,8830.0
2022-02-16,43961.859375,3542.0
2022-02-17,40538.011719,18242.0
2022-02-18,40030.976563,18210.0
2022-02-19,40122.15625,
2022-02-20,38431.378906,
2022-02-21,37075.28125,
2022-02-22,38286.027344,
2022-02-23,37296.570313,
2022-02-24,38332.609375,
2022-02-25,39214.21875,
2022-02-26,39105.148438,
2022-02-27,37709.785156,
2022-02-28,43193.234375,
2022-03-01,44354.636719,
2022-03-02,43924.117188,8374.0
2022-03-03,42451.789063,
2022-03-04,39137.605469,
2022-03-05,39400.585938,
2022-03-06,38419.984375,8007.0
2022-03-07,38062.039063,23999.0
2022-03-08,38737.269531,5495.0
2022-03-09,41982.925781,15848.0
2022-03-10,39437.460938,33082.0
2022-03-11,38794.972656,
2022-03-12,38904.011719,
2022-03-13,37849.664063,
2022-03-14,39666.753906,3567.0
2022-03-15,39338.785156,31437.0
2022-03-16,41143.929688,43493.0
2022-03-17,40951.378906,23194.0
2022-03-18,41801.15625,20862.0
2022-03-19,42190.652344,16520.0
2022-03-20,41247.824219,18279.0
2022-03-21,41077.996094,28381.0
2022-03-22,42358.808594,83.0
2022-03-23,42892.957031,25878.0
2022-03-24,43960.933594,53559.0
2022-03-25,44348.730469,
2022-03-26,44500.828125,
2022-03-27,46820.492188,
2022-03-28,47128.003906,
2022-03-29,47465.730469,
2022-03-30,47062.664063,
2022-03-31,45538.675781,
2022-04-01,46281.644531,
2022-04-02,45868.949219,
2022-04-03,46453.566406,
2022-04-04,46622.675781,
2022-04-05,45555.992188,
2022-04-06,43206.738281,
2022-04-07,43503.847656,
2022-04-08,42287.664063,
2022-04-09,42782.136719,
2022-04-10,42207.671875,
2022-04-11,39521.902344,
2022-04-12,40127.183594,
2022-04-13,41166.730469,18394.0
2022-04-14,39935.515625,27659.0
2022-04-15,40553.464844,40564.0
2022-04-16,40424.484375,44520.0
2022-04-17,39716.953125,8930.0
2022-04-18,40826.214844,53321.0
2022-04-19,41502.75,54980.0
2022-04-20,41374.378906,10875.0
2022-04-21,40527.363281,30049.0
2022-04-22,39740.320313,40506.0
2022-04-23,39486.730469,
2022-04-24,39469.292969,
2022-04-25,40458.308594,
2022-04-26,38117.460938,
2022-04-27,39241.121094,2066.0
2022-04-28,39773.828125,25220.0
2022-04-29,38609.824219,22812.0
2022-04-30,37714.875,37259.0
2022-05-01,38469.09375,46197.0
2022-05-02,38529.328125,37226.0
2022-05-03,37750.453125,
2022-05-04,39698.371094,
2022-05-05,36575.140625,
2022-05-06,36040.921875,
2022-05-07,35501.953125,
2022-05-08,34059.265625,
2022-05-09,30296.953125,
2022-05-10,31022.90625,13847.0
2022-05-11,28936.355469,18698.0
2022-05-12,29047.751953,44470.0
2022-05-13,29283.103516,42141.0
2022-05-14,30101.265625,
2022-05-15,31305.113281,
2022-05-16,29862.917969,
2022-05-17,30425.857422,
2022-05-18,28720.271484,
2022-05-19,30314.333984,
2022-05-20,29200.740234,
2022-05-21,29432.226563,
2022-05-22,30323.722656,20175.0
2022-05-23,29098.910156,4905.0
2022-05-24,29655.585938,19207.0
2022-05-25,29562.361328,14052.0
2022-05-26,29267.224609,21346.0
2022-05-27,28627.574219,13611.0
2022-05-28,28814.900391,4933.0
2022-05-29,29445.957031,17052.0
2022-05-30,31726.390625,18707.0
2022-05-31,31792.310547,19451.0
2022-06-01,29799.080078,23516.0
2022-06-02,30467.488281,11085.0
2022-06-03,29704.390625,29958.0
2022-06-04,29832.914063,6787.0
2022-06-05,29906.662109,
2022-06-06,31370.671875,
2022-06-07,31155.478516,
2022-06-08,30214.355469,
2022-06-09,30111.998047,
2022-06-10,29083.804688,
2022-06-11,28360.810547,
2022-06-12,26762.648438,
2022-06-13,22487.388672,
2022-06-14,22206.792969,17001.0
2022-06-15,22572.839844,56617.0
2022-06-16,20381.650391,
2022-06-17,20471.482422,17583.0
2022-06-18,19017.642578,31260.0
2022-06-19,20553.271484,14271.0
2022-06-20,20599.537109,
2022-06-21,20710.597656,
2022-06-22,19987.029297,
2022-06-23,21085.876953,27839.0
2022-06-24,21231.65625,5465.0
2022-06-25,21502.337891,24845.0
2022-06-26,21027.294922,31794.0
2022-06-27,20735.478516,
2022-06-28,20280.634766,9444.0
2022-06-29,20104.023438,38747.0
2022-06-30,19784.726563,
2022-07-01,19269.367188,
2022-07-02,19242.255859,7827.0
2022-07-03,19297.076172,14014.0
2022-07-04,20231.261719,
2022-07-05,20190.115234,
2022-07-06,20548.246094,
2022-07-07,21637.587891,
2022-07-08,21731.117188,
2022-07-09,21592.207031,
2022-07-10,20860.449219,
2022-07-11,19970.556641,6896.0
2022-07-12,19323.914063,18299.0
2022-07-13,20212.074219,32969.0
2022-07-14,20569.919922,36681.0
2022-07-15,20836.328125,33236.0
2022-07-16,21190.316406,29962.0
2022-07-17,20779.34375,13770.0
2022-07-18,22485.689453,
2022-07-19,23389.433594,
2022-07-20,23231.732422,
2022-07-21,23164.628906,
2022-07-22,22714.978516,
2022-07-23,22465.478516,
2022-07-24,22609.164063,
2022-07-25,21361.701172,
2022-07-26,21239.753906,
2022-07-27,22930.548828,
2022-07-28,23843.886719,
2022-07-29,23804.632813,
2022-07-30,23656.207031,
2022-07-31,23336.896484,
2022-08-01,23314.199219,
2022-08-02,22978.117188,
2022-08-03,22846.507813,
2022-08-04,22630.957031,
2022-08-05,23289.314453,
2022-08-06,22961.279297,
2022-08-07,23175.890625,
2022-08-08,23809.486328,
2022-08-09,23164.318359,
2022-08-10,23947.642578,
2022-08-11,23957.529297,
2022-08-12,24402.818359,
2022-08-13,24424.068359,
2022-08-14,24319.333984,
2022-08-15,24136.972656,
2022-08-16,23883.291016,
2022-08-17,23335.998047,
2022-08-18,23212.738281,
2022-08-19,20877.552734,
2022-08-20,21166.060547,
2022-08-21,21534.121094,
2022-08-22,21398.908203,
2022-08-23,21528.087891,
2022-08-24,21395.019531,
2022-08-25,21600.904297,
2022-08-26,20260.019531,
2022-08-27,20041.738281,
2022-08-28,19616.814453,
2022-08-29,20297.994141,
2022-08-30,19796.808594,14110.0
2022-08-31,20049.763672,27815.0
2022-09-01,20127.140625,28829.0
2022-09-02,19969.771484,28735.0
2022-09-03,19832.087891,14350.0
2022-09-04,19986.712891,6282.0
2022-09-05,19812.371094,
2022-09-06,18837.667969,
2022-09-07,19290.324219,
2022-09-08,19329.833984,
2022-09-09,21381.152344,
2022-09-10,21680.539063,
2022-09-11,21769.255859,10132.0
2022-09-12,22370.449219,28543.0
2022-09-13,20296.707031,30215.0
2022-09-14,20241.089844,34960.0
2022-09-15,19701.210938,
2022-09-16,19772.583984,
2022-09-17,20127.576172,
2022-09-18,19419.505859,
2022-09-19,19544.128906,
2022-09-20,18890.789063,
2022-09-21,18547.400391,
2022-09-22,19413.550781,
2022-09-23,19297.638672,
2022-09-24,18937.011719,
2022-09-25,18802.097656,
2022-09-26,19222.671875,
2022-09-27,19110.546875,
2022-09-28,19426.720703,
2022-09-29,19573.050781,
2022-09-30,19431.789063,
2022-10-01,19312.095703,
2022-10-02,19044.107422,
2022-10-03,19623.580078,
2022-10-04,20336.84375,
2022-10-05,20160.716797,
2022-10-06,19955.443359,
2022-10-07,19546.849609,
2022-10-08,19416.568359,
2022-10-09,19446.425781,9766.0
2022-10-10,19141.484375,25948.0
2022-10-11,19051.417969,26576.0
2022-10-12,19157.445313,28160.0
2022-10-13,19382.904297,18275.0
2022-10-14,19185.65625,13099.0
2022-10-15,19067.634766,24929.0
2022-10-16,19268.09375,
2022-10-17,19550.757813,
2022-10-18,19334.416016,
2022-10-19,19139.535156,
2022-10-20,19053.740234,
2022-10-21,19172.46875,
2022-10-22,19208.189453,
2022-10-23,19567.007813,
2022-10-24,19345.572266,
2022-10-25,20095.857422,
2022-10-26,20770.441406,
2022-10-27,20285.835938,
2022-10-28,20595.351563,
2022-10-29,20818.476563,
2022-10-30,20635.603516,
2022-10-31,20495.773438,
2022-11-01,20485.273438,
2022-11-02,20159.503906,
2022-11-03,20209.988281,
2022-11-04,21147.230469,
2022-11-05,21282.691406,
2022-11-06,20926.486328,
2022-11-07,20602.816406,15560.0
2022-11-08,18541.271484,12597.0
2022-11-09,15880.780273,25189.0
2022-11-10,17586.771484,13219.0
2022-11-11,17034.292969,18377.0
2022-11-12,16799.185547,
2022-11-13,16353.365234,6468.0
2022-11-14,16618.199219,13453.0
2022-11-15,16884.613281,31552.0
2022-11-16,16669.439453,36098.0
2022-11-17,16687.517578,
2022-11-18,16697.777344,
2022-11-19,16711.546875,
2022-11-20,16291.832031,5813.0
2022-11-21,15787.28418,23936.0
2022-11-22,16189.769531,
2022-11-23,16610.707031,
2022-11-24,16604.464844,
2022-11-25,16521.841797,
2022-11-26,16464.28125,
2022-11-27,16444.626953,
2022-11-28,16217.322266,
2022-11-29,16444.982422,
2022-11-30,17168.566406,
2022-12-01,16967.132813,
2022-12-02,17088.660156,
2022-12-03,16908.236328,
2022-12-04,17130.486328,
2022-12-05,16974.826172,
2022-12-06,17089.503906,
2022-12-07,16848.126953,
2022-12-08,17233.474609,
2022-12-09,17133.152344,
2022-12-10,17128.724609,
2022-12-11,17104.193359,
2022-12-12,17206.4375,
2022-12-13,17781.318359,
2022-12-14,17815.650391,
2022-12-15,17364.865234,
2022-12-16,16647.484375,
2022-12-17,16795.091797,
2022-12-18,16757.976563,
2022-12-19,16439.679688,
2022-12-20,16906.304688,
2022-12-21,16817.535156,
2022-12-22,16830.341797,
2022-12-23,16796.953125,
2022-12-24,16847.755859,6199.0
2022-12-25,16841.986328,16861.0
2022-12-26,16919.804688,585.0
2022-12-27,16717.173828,19588.0
2022-12-28,16552.572266,
2022-12-29,16642.341797,
2022-12-30,16602.585938,
2022-12-31,16547.496094,
2023-01-01,16625.080078,
2023-01-02,16688.470703,
2023-01-03,16679.857422,
2023-01-04,16863.238281,
2023-01-05,16836.736328,
2023-01-06,16951.96875,4407.0
2023-01-07,16955.078125,22721.0
2023-01-08,17091.144531,4266.0
2023-01-09,17196.554688,29493.0
2023-01-10,17446.292969,
2023-01-11,17934.896484,
2023-01-12,18869.587891,
2023-01-13,19909.574219,
2023-01-14,20976.298828,
2023-01-15,20880.798828,
2023-01-16,21169.632813,
2023-01-17,21161.519531,
2023-01-18,20688.78125,
2023-01-19,21086.792969,
2023-01-20,22676.552734,
2023-01-21,22777.625,
2023-01-22,22720.416016,
2023-01-23,22934.431641,
2023-01-24,22636.46875,
2023-01-25,23117.859375,
2023-01-26,23032.777344,
2023-01-27,23078.728516,
2023-01-28,23031.089844,
2023-01-29,23774.566406,
2023-01-30,22840.138672,
2023-01-31,23139.283203,
